oil	output	price	time
11.997414	-7.35461	-52.414761	1994m9
9.7272739	-2.0997415	-50.244209	1994m10
3.3912666	-.082773313	-49.350559	1994m11
6.2254395	2.5233822	-53.769615	1994m12
-7.6480942	-.66503954	-49.211067	1995m1
10.058884	-2.7307568	-45.62645	1995m2
-14.504209	3.3605938	-45.825058	1995m3
15.538163	1.3825972	-37.917809	1995m4
.091344826	.17853592	-38.866718	1995m5
-16.652925	-5.8984103	-45.345352	1995m6
18.455807	-4.7486587	-50.959747	1995m7
2.5209172	-4.3823614	-50.914017	1995m8
7.5542994	-5.9865742	-50.022167	1995m9
-6.5196786	-10.130735	-52.828686	1995m10
3.7967627	-11.057327	-51.556862	1995m11
7.4353623	-12.532061	-45.752708	1995m12
-1.3763331	-14.613237	-46.556812	1996m1
7.5297461	-16.680149	-45.105122	1996m2
-2.8169653	-13.756424	-34.106373	1996m3
-2.7985899	-14.202325	-27.552002	1996m4
.0048222328	-15.530526	-33.584023	1996m5
6.051868	-21.817755	-37.833004	1996m6
1.629106	-28.534733	-36.585396	1996m7
-6.2116656	-25.777197	-32.076939	1996m8
8.8927698	-25.340876	-25.297323	1996m9
6.7032394	-23.468679	-20.39838	1996m10
8.3749437	-12.778005	-23.15521	1996m11
10.604421	-11.111114	-20.96567	1996m12
-1.2363091	-10.156435	-22.01911	1997m1
6.5637736	-13.183241	-31.964302	1997m2
-.25862804	-11.919527	-40.6236	1997m3
9.6052723	-13.09084	-47.88039	1997m4
-11.955693	-12.665023	-43.921658	1997m5
-14.246198	-12.860628	-50.796825	1997m6
8.2447309	-9.5199194	-50.117912	1997m7
16.151274	-8.6151962	-47.715202	1997m8
6.3740101	-6.337707	-48.578007	1997m9
9.353776	-7.441956	-43.951633	1997m10
-2.6285717	-8.0683746	-48.719772	1997m11
-3.376323	-9.486392	-60.203991	1997m12
21.968859	-12.552162	-71.03788	1998m1
6.5099573	-21.312447	-78.346741	1998m2
-2.0769629	-22.245071	-85.988808	1998m3
-2.4402554	-26.368687	-82.374176	1998m4
-9.5454826	-27.400408	-84.194077	1998m5
-4.9415674	-32.663662	-92.579338	1998m6
-2.3259575	-36.223892	-93.342873	1998m7
-17.927956	-33.715263	-95.300262	1998m8
1.5807087	-25.330023	-83.485207	1998m9
2.161417	-22.86042	-89.036263	1998m10
15.236592	-26.25301	-98.862793	1998m11
-3.1665547	-25.99966	-114.77949	1998m12
3.8029487	-34.603172	-107.08049	1999m1
5.7582264	-34.341206	-105.42111	1999m2
-5.7633052	-26.89572	-89.666489	1999m3
-26.146555	-32.064533	-70.054527	1999m4
-3.5336969	-24.69887	-65.177956	1999m5
-19.327957	-30.246218	-63.017769	1999m6
27.963846	-27.591051	-50.818783	1999m7
-2.0152297	-23.172956	-43.024349	1999m8
.80714166	-18.58333	-33.336708	1999m9
9.2256641	-7.2755194	-33.607796	1999m10
-.37970418	-7.0621781	-26.991711	1999m11
-14.79314	-5.1203985	-22.132046	1999m12
17.804171	-7.8637552	-18.640097	2000m1
11.297685	-5.1183376	-11.075818	2000m2
.57752377	-.18724933	-10.536887	2000m3
11.980896	.20434336	-23.615156	2000m4
8.9069519	-1.8416091	-15.650192	2000m5
-3.6317134	-2.4055674	-6.9606762	2000m6
10.916156	-1.1147397	-10.44892	2000m7
14.222967	.19304915	-7.6318326	2000m8
.66054499	2.1135652	-2.2199564	2000m9
7.5392814	3.5724914	-5.2134457	2000m10
9.3120852	4.3322935	-4.4144411	2000m11
-21.704285	.43285662	-22.118828	2000m12
-2.197823	-2.7249229	-25.508154	2001m1
-8.3383312	-6.3317685	-23.794662	2001m2
11.862299	-6.6418753	-32.026085	2001m3
-15.579664	-7.8994975	-32.283253	2001m4
-12.351777	-7.0930185	-25.901573	2001m5
-27.635759	-8.4699163	-28.926615	2001m6
34.973663	-13.592323	-33.854019	2001m7
3.1832442	-22.825001	-29.512053	2001m8
-6.6428332	-23.853605	-35.352325	2001m9
-2.0532355	-25.504599	-53.29446	2001m10
4.3699965	-27.329111	-68.777664	2001m11
-7.7064767	-27.620138	-69.4086	2001m12
-15.784039	-24.474297	-62.967094	2002m1
1.266237	-21.880007	-56.330429	2002m2
-3.3499026	-16.541824	-36.558819	2002m3
-10.344827	-15.577811	-29.697796	2002m4
11.128248	-18.926905	-27.90918	2002m5
-2.6839945	-19.304871	-32.099937	2002m6
8.5059538	-19.664906	-25.961884	2002m7
-4.8079343	-18.818893	-23.515602	2002m8
10.509678	-12.031502	-18.152052	2002m9
23.463036	-5.5781479	-22.702726	2002m10
